id,poi shape,poi type,coordinate
2790,Point,bus_stop," 18.9242992, 47.3688302 "
2791,Point,bus_stop," 18.929575, 47.327882 "
2792,Point,bus_stop," 18.8624552, 47.376786 "
2793,Point,bus_stop," 18.9380631, 47.3356366 "
2794,Point,bus_stop," 18.8910396, 47.3710572 "
2795,Point,bus_stop," 18.8950229, 47.3346074 "
2796,Point,bus_stop," 18.9272207, 47.365418 "
2797,Point,bus_stop," 18.8590886, 47.3790575 "
2798,Point,bus_stop," 18.9339846, 47.3301669 "
2799,Point,bus_stop," 18.8847932, 47.3693967 "
2800,Point,bus_stop," 18.9082385, 47.3753295 "
2801,Point,bus_stop," 18.9347073, 47.3302944 "
2802,Point,bus_stop," 18.9425553, 47.3313534 "
2803,Point,bus_stop," 18.8590029, 47.3790986 "
2804,Point,bus_stop," 18.9360879, 47.3311196 "
2805,Point,bus_stop," 18.8960167, 47.3722645 "
2806,Point,bus_stop," 18.8602897, 47.3628033 "
2807,Point,bus_stop," 18.8948063, 47.3344525 "
2808,Point,bus_stop," 18.9276992, 47.3647083 "
2809,Point,bus_stop," 19.3462651, 47.3847275 "
2810,Point,bus_stop," 19.3462491, 47.3849703 "
2846,Point,bus_stop," 19.3681159, 47.4439951 "
2847,Point,bus_stop," 19.3728593, 47.4405711 "
2856,Point,bus_stop," 19.3361228, 47.3870091 "
2857,Point,bus_stop," 19.335474, 47.3870387 "
2858,Point,bus_stop," 19.3294605, 47.3887862 "
2859,Point,bus_stop," 19.3288621, 47.3887981 "
2860,Point,bus_stop," 19.3909073, 47.370328 "
2866,Point,bus_stop," 19.1335356, 47.5248123 "
2867,Point,bus_stop," 19.1327042, 47.5242282 "
2870,Point,bus_stop," 19.1410453, 47.5245718 "
2871,Point,bus_stop," 19.1307904, 47.522733 "
2872,Point,bus_stop," 19.1359966, 47.5209946 "
2874,Point,bus_stop," 19.1383899, 47.5226965 "
2875,Point,bus_stop," 19.127313, 47.519181 "
2876,Point,bus_stop," 19.1272825, 47.519356 "
2877,Point,bus_stop," 19.1232565, 47.5213927 "
2878,Point,bus_stop," 19.1263131, 47.5190835 "
2879,Point,bus_stop," 19.1249593, 47.5248518 "
2880,Point,bus_stop," 19.1224401, 47.5216923 "
2881,Point,bus_stop," 19.1262849, 47.5193065 "
2882,Point,bus_stop," 19.1246186, 47.5247302 "
2960,Point,bus_stop," 19.2608255, 47.495802 "
2982,Point,bus_stop," 18.9875694, 47.5898253 "
2986,Point,bus_stop," 18.9975483, 47.5855396 "
2987,Point,bus_stop," 19.0349895, 47.5603122 "
2990,Point,bus_stop," 19.0402414, 47.5531067 "
2992,Point,bus_stop," 18.987548, 47.5900504 "
2993,Point,bus_stop," 19.0421577, 47.558261 "
2996,Point,bus_stop," 19.0356173, 47.5618276 "
2999,Point,bus_stop," 19.0310538, 47.5604594 "
3000,Point,bus_stop," 18.9782019, 47.5963813 "
3005,Point,bus_stop," 19.0399353, 47.5594032 "
3008,Point,bus_stop," 19.035518, 47.5620248 "
3012,Point,bus_stop," 18.9835625, 47.5926444 "
3019,Point,bus_stop," 19.0362951, 47.5640037 "
3021,Point,bus_stop," 18.9844388, 47.5919522 "
3022,Point,bus_stop," 19.0409714, 47.555304 "
3025,Point,bus_stop," 19.0355306, 47.5599701 "
3028,Point,bus_stop," 18.936398, 47.590238 "
3030,Point,bus_stop," 18.937112, 47.592154 "
3037,Point,bus_stop," 18.9273167, 47.5547533 "
