,price_per_sqm,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
2080,17.39130435,2.0,2.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,2080,6
2081,19.51219512,2.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,2081,6
2083,21.05263158,2.0,5.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,19.0665015,47.50761,2083,2
2098,12.63636364,1.0,6.0,0.0,0.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0540843,47.494279999999996,2098,3
2099,11.03571429,1.0,3.0,0.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.059074300000002,47.5256181,2099,5
2102,8.766666667,2.0,3.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0662126,47.510729299999994,2102,4
2143,9.266666667,2.0,1.0,0.0,1.0,1,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.056969,47.497296,2143,1
2154,11.36764706,2.0,2.0,1.0,0.0,0,1,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0530407,47.518951,2154,5
2163,12.46875,1.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,0.0,1,19.03042,47.509774,2163,5
2165,9.897435897000001,1.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.061089300000003,47.48684229999999,2165,5
