ID,poi shape,poi_type,coordinate,longitude,latitude
1558,Point,information," 19.2454431, 47.5077333 ",19.2454431,47.5077333
1562,Point,information," 19.0063979, 47.5401561 ",19.0063979,47.5401561
1574,Point,information," 18.9906714, 47.5383099 ",18.9906714,47.5383099
1575,Point,information," 18.9908555, 47.5379458 ",18.9908555,47.5379458
1576,Point,information," 18.9910923, 47.5376373 ",18.9910923,47.5376373
1581,Point,information," 18.92886, 47.55845 ",18.92886,47.55845
1582,Point,information," 18.9289, 47.560283 ",18.9289,47.560283
1583,Point,information," 18.931967, 47.55895 ",18.931967,47.55895
1584,Point,information," 18.9348, 47.559867 ",18.9348,47.559867
1585,Point,information," 18.9368346, 47.5593457 ",18.9368346,47.5593457
1587,Point,information," 19.255169, 47.480736 ",19.255169,47.480736
1589,Point,information," 18.9323261, 47.4686651 ",18.9323261,47.4686651
1590,Point,information," 18.9289681, 47.4710239 ",18.9289681,47.4710239
1595,Point,information," 18.958916, 47.538293 ",18.958916,47.538293
1596,Point,information," 18.959447, 47.537204 ",18.959447,47.537204
1597,Point,information," 18.958563, 47.537788 ",18.958563,47.537788
1598,Point,information," 18.957955, 47.538269 ",18.957955,47.538269
1599,Point,information," 18.95853, 47.538392 ",18.95853,47.538392
1600,Point,information," 18.960128, 47.537985 ",18.960128,47.537985
1601,Point,information," 18.961155, 47.537657 ",18.961155,47.537657
1602,Point,information," 18.962245, 47.537239 ",18.962245,47.537239
1603,Point,information," 18.963383, 47.537224 ",18.963383,47.537224
1604,Point,information," 18.964341, 47.537458 ",18.964341,47.537458
1605,Point,information," 18.96525, 47.537058 ",18.96525,47.537058
1606,Point,information," 18.965742, 47.536685 ",18.965742,47.536685
1607,Point,information," 18.8734858, 47.4014394 ",18.8734858,47.4014394
1608,Point,information," 18.8739308, 47.4011956 ",18.8739308,47.4011956
1609,Point,information," 18.8740261, 47.4013276 ",18.8740261,47.4013276
1611,Point,information," 18.8767814, 47.3948417 ",18.8767814,47.3948417
1613,Point,information," 18.876668, 47.3949537 ",18.876668,47.3949537
1614,Point,information," 18.8768677, 47.3950587 ",18.8768677,47.3950587
1615,Point,information," 18.8769938, 47.3951576 ",18.8769938,47.3951576
1616,Point,information," 18.9391935, 47.4743532 ",18.9391935,47.4743532
1622,Point,information," 19.2529496, 47.5086852 ",19.2529496,47.5086852
1624,Point,information," 18.964511, 47.633855 ",18.964511,47.633855
1625,Point,information," 18.965427, 47.633592 ",18.965427,47.633592
1626,Point,information," 18.960477, 47.63708 ",18.960477,47.63708
1627,Point,information," 18.972762, 47.63431 ",18.972762,47.63431
1628,Point,information," 18.958176, 47.638625 ",18.958176,47.638625
1629,Point,information," 18.955318, 47.640276 ",18.955318,47.640276
1630,Point,information," 18.977707, 47.640415 ",18.977707,47.640415
1631,Point,information," 18.962858, 47.634796 ",18.962858,47.634796
1651,Point,information," 18.86755, 47.553217 ",18.86755,47.553217
1654,Point,information," 18.9635, 47.469383 ",18.9635,47.469383
1655,Point,information," 18.963333, 47.4696 ",18.963333,47.4696
1656,Point,information," 18.966067, 47.4699 ",18.966067,47.4699
1657,Point,information," 18.963733, 47.469917 ",18.963733,47.469917
1658,Point,information," 18.964867, 47.469933 ",18.964867,47.469933
1659,Point,information," 18.965133, 47.469933 ",18.965133,47.469933
1660,Point,information," 18.964533, 47.469967 ",18.964533,47.469967
1661,Point,information," 18.964133, 47.47 ",18.964133,47.47
1662,Point,information," 18.963267, 47.470117 ",18.963267,47.470117
1663,Point,information," 18.964817, 47.470233 ",18.964817,47.470233
1664,Point,information," 18.964283, 47.470333 ",18.964283,47.470333
1678,Point,information," 18.8845, 47.612067 ",18.8845,47.612067
1696,Point,information," 18.8821, 47.608867 ",18.8821,47.608867
1697,Point,information," 18.872633, 47.607767 ",18.872633,47.607767
1698,Point,information," 18.866483, 47.61115 ",18.866483,47.61115
1699,Point,information," 18.87835, 47.61225 ",18.87835,47.61225
1708,Point,information," 18.990869, 47.570367 ",18.990869,47.570367
