id,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,apartment_floor,longitude,latitude,location_district,furnish_furnished,lift,view_total,heating_total,air_conditioner,cluster
1213,8.66,1,2,0,3,19.1293391,47.5038505,XIV,1,1,,,0,0
1214,7.734375,1,2,1,2,19.0383974,47.5041548,I,1,,street,,0,0
1216,8.140350877,1,2,0,3,19.0581571,47.5049735,VI,1,,,,0,0
1217,9.444444444,1,1,1,3,19.0389211,47.549145,III,0,,street,,0,0
1219,8.285714286,1,2,0,4,19.07628417,47.49767069,VIII,1,,street,,0,0
1222,7.25,1,1,2,2,19.0988804,47.4359101,XX,1,,street,,0,0
1226,8.285714286,1,2,0,3,19.0599966,47.504512,VI,1,,,,0,0
1229,8.553191489,1,1,1,3,19.2028003,47.5060018,XVI,1,1,,,0,0
1238,9.275,1,1,0,1,19.0675396,47.4903298,VIII,1,,,,0,0
1244,8.66,1,2,1,1.5,18.996592,47.5299229,II,1,,panoramic,,0,0
1246,8,1,3,0,0.5,19.0494985,47.5085913,V,0,,street,,0,0
1253,7.893617021,1,1,0,2,19.0681828,47.5311503,XIII,1,,street,,0,0
1255,6.873015873,1,2,1,4,19.0761401,47.4895974,VIII,0,,street,,0,0
1256,8.5,1,2,2,3,19.0560403,47.5198747,XIII,0,,street,,0,0
1258,8.350364964,1,3,0,1,19.0557519,47.516934,XIII,1,,street,,0,0
1265,8.35,1,3,0,3,19.0471359,47.5009694,V,0,,,circulating,0,0
1271,6.745454545,1,2,0,2,19.0833812,47.4926291,VIII,1,,street,,0,0
1273,8.836734694,1,2,0,2,19.0728362,47.5021541,VII,0,,street,,0,0
1275,9.088235294,1,3,1,3,19.0376431,47.49455799,I,0,1,panoramic,central,0,0
1277,8.66,1,2,0,4,19.0299588,47.5453835,III,1,,,,0,0
1279,7.309090909,1,2,0,1,19.1106933,47.4637692,IX,1,,,,0,0
