ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
3297,Point,hairdresser,"   19.0326222, 47.3430952  ",Beauty,19.0326222,47.3430952
3299,Point,hairdresser,"   19.0293996, 47.3399353  ",Beauty,19.0293996,47.3399353
3310,Point,hairdresser,"   19.0361573, 47.3398409  ",Beauty,19.0361573,47.3398409
3312,Point,hairdresser,"   19.1483595, 47.456786  ",Beauty,19.1483595,47.456786
3317,Point,hairdresser,"   19.2245595, 47.5189049  ",Beauty,19.2245595,47.5189049
3320,Point,hairdresser,"   19.0537256, 47.4822597  ",Beauty,19.0537256,47.4822597
3356,Point,hairdresser,"   19.1196819, 47.5292172  ",Beauty,19.1196819,47.5292172
3367,Point,hairdresser,"   19.0519593, 47.5686642  ",Beauty,19.0519593,47.5686642
3384,Point,chemist,"   19.1147068, 47.5797194  ",Beauty,19.1147068,47.5797194
3392,Point,cosmetics,"   19.055525, 47.5187511  ",Beauty,19.055525,47.5187511
3399,Point,hairdresser,"   19.1235427, 47.5234883  ",Beauty,19.1235427,47.5234883
3404,Point,beauty,"   19.1235131, 47.5167872  ",Beauty,19.1235131,47.5167872
3446,Point,hairdresser,"   19.0627649, 47.5059749  ",Beauty,19.0627649,47.5059749
3449,Point,cosmetics,"   19.0616102, 47.5067711  ",Beauty,19.0616102,47.5067711
3461,Point,chemist,"   19.0530735, 47.5024802  ",Beauty,19.0530735,47.5024802
3482,Point,hairdresser,"   19.0331209, 47.4975641  ",Beauty,19.0331209,47.4975641
3509,Point,hairdresser,"   19.0745262, 47.5512101  ",Beauty,19.0745262,47.5512101
3566,Point,chemist,"   19.0572906, 47.4961918  ",Beauty,19.0572906,47.4961918
3610,Point,chemist,"   18.9664293, 47.537599  ",Beauty,18.9664293,47.537599
3614,Point,hairdresser,"   18.9811786, 47.5284313  ",Beauty,18.9811786,47.5284313
3622,Point,beauty,"   19.0633419, 47.5093654  ",Beauty,19.0633419,47.5093654
3625,Point,hairdresser,"   19.0657402, 47.5084451  ",Beauty,19.0657402,47.5084451
3633,Point,chemist,"   19.0591272, 47.5079428  ",Beauty,19.0591272,47.5079428
3639,Point,cosmetics,"   19.0606012, 47.5074568  ",Beauty,19.0606012,47.5074568
3640,Point,chemist,"   19.0613187, 47.506957  ",Beauty,19.0613187,47.506957
3644,Point,chemist,"   19.0610673, 47.507142  ",Beauty,19.0610673,47.507142
3646,Point,hairdresser,"   18.9238932, 47.6161531  ",Beauty,18.9238932,47.6161531
3652,Point,hairdresser,"   19.120625, 47.5300492  ",Beauty,19.120625,47.5300492
3671,Point,beauty,"   19.0723272, 47.5326887  ",Beauty,19.0723272,47.5326887
3722,Point,hairdresser,"   19.0710384, 47.5019841  ",Beauty,19.0710384,47.5019841
3754,Point,hairdresser,"   19.0602762, 47.5064973  ",Beauty,19.0602762,47.5064973
3760,Point,beauty,"   19.0350281, 47.463149  ",Beauty,19.0350281,47.463149
